Gas Boiler Output (MWh),Oil Boiler Output (MWh),Gas Motor Output (MWh),Electric Boiler Output (MWh),Total Electricity Production (MWh),Total Production Cost (DKK/MWh),Total Gas Consumption (MWh(gas)),Total Oil Consumption (MWh(oil)),Total CO2 Emissions (kg)
5,0,1,3099999999999996,0,0,9824999999999997,3013,02,7,988999999999999,0,1913,3999999999996
5,0,1,37,0,1,0275,3037,59,8,103,0,1951,8000000000002
5,0,1,4299999999999997,0,1,0724999999999998,3064,72,8,216999999999999,0,1990,1999999999998
5,0,2,04,0,1,53,3300,83,9,376,0,2380,6
5,0,1,96,0,1,47,3284,20,9,224,0,2329,4
5,0,1,96,0,1,47,3262,97,9,224,0,2329,4
5,0,1,6100000000000003,0,1,2075000000000002,3118,74,8,559000000000001,0,2105,4
5,0,1,8200000000000003,0,1,3650000000000002,3188,77,8,958,0,2239,8
3,2899999999999996,0,3,6,0,2,7,2975,64,10,459,0,3011,35
3,0900000000000003,0,3,6,0,2,7,2860,36,10,239,0,2968,35
3,02,0,3,6,0,2,7,2840,64,10,162,0,2953,3
2,9,0,3,6,0,2,7,2799,92,10,03,0,2927,5
2,8000000000000003,0,3,6,0,2,7,2739,47,9,92,0,2906
2,98,0,3,6,0,2,7,2813,81,10,118,0,2944,7
5,0,1,2000000000000002,0,0,9000000000000001,2950,71,7,78,0,1843
2,69,0,3,6,0,2,7,2532,32,9,799,0,2882,35
2,47,0,3,6,0,2,7,2195,58,9,557,0,2835,05
2,6699999999999995,0,3,6,0,2,7,2056,39,9,777,0,2878,0499999999997
2,6999999999999997,0,3,6,0,2,7,2134,32,9,809999999999999,0,2884,5
2,65,0,3,6,0,2,7,2288,20,9,754999999999999,0,2873,75
2,56,0,3,6,0,2,7,2276,16,9,656,0,2854,4
2,6300000000000003,0,3,6,0,2,7,2385,52,9,733,0,2869,45
2,4899999999999998,0,3,6,0,2,7,2308,69,9,579,0,2839,35
2,4499999999999997,0,3,6,0,2,7,1587,61,9,535,0,2830,75
2,4499999999999997,0,3,6,0,2,7,1672,63,9,535,0,2830,75
2,4599999999999995,0,3,6,0,2,7,1551,00,9,546,0,2832,8999999999996
2,64,0,3,6,0,2,7,1725,84,9,744,0,2871,6
3,15,0,3,6,0,2,7,2163,92,10,305,0,2981,25
3,14,0,3,6,0,2,7,2150,28,10,294,0,2979,1
3,1199999999999997,0,3,6,0,2,7,2358,80,10,272,0,2974,8
2,6699999999999995,0,3,6,0,2,7,1969,96,9,777,0,2878,0499999999997
2,9099999999999997,0,3,6,0,2,7,1571,37,10,041,0,2929,65
3,11,0,3,6,0,2,7,1812,09,10,261,0,2972,65
2,9899999999999998,0,3,6,0,2,7,1759,11,10,129,0,2946,85
2,81,0,3,6,0,2,7,1944,08,9,931000000000001,0,2908,15
2,68,0,3,6,0,2,7,2175,35,9,788,0,2880,2
2,6599999999999997,0,3,6,0,2,7,2256,42,9,766,0,2875,9
2,93,0,3,6,0,2,7,2435,03,10,063,0,2933,95
2,8800000000000003,0,3,6,0,2,7,2428,74,10,008000000000001,0,2923,2
2,85,0,3,6,0,2,7,2024,78,9,975,0,2916,75
2,5399999999999996,0,3,6,0,2,7,1206,68,9,634,0,2850,1
2,6999999999999997,0,3,6,0,2,7,953,02,9,809999999999999,0,2884,5
2,57,0,3,6,0,2,7,1547,90,9,667,0,2856,55
2,4999999999999996,0,3,6,0,2,7,1513,71,9,59,0,2841,5
2,4899999999999998,0,3,6,0,2,7,2062,67,9,579,0,2839,35
2,4899999999999998,0,3,6,0,2,7,2143,07,9,579,0,2839,35
2,43,0,3,6,0,2,7,2200,90,9,513,0,2826,45
2,48,0,3,6,0,2,7,2122,60,9,568,0,2837,2
2,5799999999999996,0,3,6,0,2,7,2226,87,9,677999999999999,0,2858,7
